企业代号,违约概率,风险等级,TOPSIS得分,D_pos,D_neg,PD排名,TOPSIS排名,企业名称,硬性禁贷
E131,0.014094339554478034,A,0.782123075968717,0.06706110412285542,0.24073241013304938,1,7,个体经营E131 ,False
E134,0.014657920260878188,A,0.8165852092211051,0.055058782333097314,0.24512847137355862,2,1,***工程咨询有限公司,False
E193,0.01582816664461734,A,0.7689180986126891,0.07375434227197601,0.24541536262134722,3,16,个体经营E193 ,False
E141,0.016377224717544867,A,0.7974374482046912,0.061799478912645284,0.24328889188895383,4,4,***食品有限公司,False
E129,0.016449215633078513,A,0.789053140394565,0.06589469527289403,0.24648111063455863,5,5,个体经营E129 ,False
E194,0.016891163114054423,A,0.7987294624026758,0.06223700388599493,0.2469836333168062,6,3,***文化传播有限公司,False
E138,0.01820365162389506,A,0.7568530970846399,0.0756568718370547,0.2355001732658023,7,27,个体经营E138 ,False
E238,0.01837065317456444,A,0.7771538440062898,0.06902399898424255,0.24071434348997447,8,12,个体经营E238 ,False
E139,0.019821937055468534,A,0.7505516168870732,0.08012127565279802,0.24107253066875514,9,32,个体经营E139 ,False
E167,0.02005104304122679,A,0.6025061412332869,0.13941213758368015,0.21131563973652331,10,220,***体育文化股份有限公司,False
E273,0.02065041060301468,A,0.7417846449767738,0.08052395012531177,0.2313240812129822,11,49,个体经营E273 ,False
E197,0.021299398268713913,A,0.8135203583378118,0.055549821387463824,0.24233696610483238,12,2,***医疗设备有限公司,False
E171,0.021905520891687316,A,0.7872548722134433,0.06405675276918882,0.23703946238576298,13,6,***质量检验测试站,False
E195,0.022611220340882775,A,0.7492865078729684,0.07822528268947267,0.23378537946443095,14,37,***医药有限公司,False
E127,0.022632379199559235,A,0.7437499037576402,0.08425720383960886,0.2445512730162159,15,47,个体经营E127 ,False
E185,0.024439921737507354,A,0.6951935689076699,0.09786647204268893,0.22321097928262063,16,121,***生态魔芋有限公司,False
E152,0.025445194953687578,A,0.7412633640736952,0.08347300923994008,0.2391446554023237,17,50,***运贸有限责任公司,False
E126,0.025451916718985532,A,0.7751736769529918,0.06997730050238775,0.2412731774398966,18,14,个体经营E126 ,False
E124,0.02666265919539959,A,0.5895174730806948,0.14448060791681977,0.2074968781924063,19,232,个体经营E124 ,False
E125,0.02672265492519788,A,0.7403068159352404,0.08141147495041717,0.23207952114024505,20,51,个体经营E125 ,False
E176,0.026920413339785978,A,0.7806131248989533,0.06793207212386718,0.24171303354883336,21,8,***科技有限公司,False
E132,0.02837542524226984,A,0.7788442135414388,0.06823028670631036,0.24028656378584234,22,11,个体经营E132 ,False
E196,0.029504411868155785,A,0.7572938488334816,0.0740356698750787,0.2310067426028956,23,25,***地质制图印刷厂,False
E173,0.030131386063034022,A,0.7377998274850279,0.08005209825294156,0.2252570000786793,24,55,***贸易有限责任公司,False
E145,0.030410759547994756,A,0.7572415285191874,0.07324556475984055,0.22847640734291177,25,26,***工贸有限公司,False
E147,0.03175399065945604,A,0.7452530364215859,0.07899200745174487,0.23108826334775454,26,45,***装饰工程有限责任公司,False
E165,0.03236858187002331,A,0.7480970497862371,0.07735218303093362,0.22971918300623737,27,40,***文化传媒股份有限公司,False
E180,0.032402152034233314,A,0.7652543669516544,0.07049235305539783,0.22980014712874827,28,17,***电气有限公司,False
E225,0.032761297005662326,A,0.7650917562704983,0.07136089663949927,0.23242110567146163,29,18,***物业服务有限责任公司***分公司,False
E256,0.0330096940278149,A,0.7265149432915473,0.08652348868398056,0.22985024568139822,30,69,***物资有限公司,False
E169,0.03306335910622766,A,0.778918985457488,0.06580557131361904,0.23184808044744237,31,10,***建筑设计有限公司,False
E188,0.03408241972540585,A,0.7499575758104792,0.0761038649158035,0.22825994519555667,32,35,***硬质合金有限公司,False
E330,0.03410204275056606,A,0.747227766077274,0.07857815928327114,0.23228731064525346,33,42,***酒店管理有限公司,False
E234,0.03445403539811302,A,0.7635188969116966,0.07293625632917076,0.23548693426266246,34,19,***机电设备商贸有限公司,False
E142,0.035318982045212804,A,0.7527247804067488,0.07541205831070014,0.22956010361780685,35,29,***运业有限公司,False
E289,0.03594094962091012,A,0.7347913966763318,0.08329581832464772,0.2307807888470702,36,59,***运业有限公司***分公司,False
E155,0.036880329661670735,A,0.7338470145175991,0.08104744902106607,0.22346707248305311,37,62,个体经营E155 ,False
E246,0.03713924790737611,A,0.750497429714353,0.07677949512860165,0.23095078212144596,38,33,***物业服务有限公司,False
E220,0.03716901448658626,A,0.7627163974045446,0.07255849190401846,0.23322956555279342,39,20,***文化传播有限公司,False
E144,0.037822987802403035,A,0.7748562199316555,0.0686955670721626,0.23642308666683662,40,15,***劳务有限公司,False
E135,0.0379988070640315,A,0.7601382592139747,0.07350971587560812,0.23295731648527304,41,23,***建设工程有限公司,False
E221,0.03869381256671444,A,0.7513072105653722,0.07572359908295184,0.22876290917126843,42,31,***测绘服务有限公司,False
E211,0.03899545819589739,A,0.738914209146677,0.07961256222906671,0.22531618157144429,43,53,个体经营E211 ,False
E258,0.039384958956677915,A,0.7174656122041903,0.09094536339495374,0.23094594372862656,44,86,***国际货运有限公司,False
E181,0.03949984998892209,A,0.5891608438525887,0.14024317035257383,0.20111467797835267,45,233,***食品有限公司,False
E154,0.03957954285180283,A,0.5771149771674843,0.1439546327961655,0.19645617634516216,46,243,***汽车销售服务有限公司,False
E204,0.039746306921079846,A,0.7595253145871296,0.07340335543787065,0.23184023106207458,47,24,***科技发展有限公司,False
E310,0.03980653309570229,A,0.7334499183362686,0.0818299754402141,0.22516664946964965,48,63,***律师事务所,False
E205,0.0398258385629043,A,0.6934146722508361,0.0999809323578884,0.22613034339007845,49,124,个体经营E205 ,False
E209,0.04076716699401999,A,0.7800133026724613,0.0653457889410388,0.23169848571228402,50,9,***工程检测有限公司,False
E213,0.041267323542154614,A,0.7492709192413468,0.07542815907167953,0.22540714429021957,51,38,***科技有限公司,False
E164,0.04165985056170619,A,0.7520622627403996,0.07529100792825075,0.22837800494742186,52,30,个体经营E164 ,False
E235,0.04209398386789636,A,0.7562870006080455,0.07408326786735608,0.22989423046957402,53,28,个体经营E235 ,False
E250,0.042181768514294754,A,0.7288278414711764,0.0846598333878673,0.22753974435332838,54,65,***塑料厂,False
E206,0.04230395849487604,A,0.7621625455813394,0.07136482911309848,0.22869232247193494,55,21,***建设工程有限公司,False
E140,0.04324159704600555,A,0.7221174277265265,0.089291065995649,0.2320355478510613,56,78,***建筑工程有限公司,False
E212,0.043269177550957084,A,0.7342734750931665,0.08306824868167396,0.22953979340519934,57,61,***建电管理咨询有限公司,False
E150,0.043521697943827375,A,0.7621098917372865,0.07114461356225965,0.2279204214735446,58,22,***建设工程有限公司,False
E159,0.04405657966243549,A,0.7464250769923899,0.07785883672142255,0.2291858654831639,59,43,个体经营E159 ,False
E308,0.04509463613451662,A,0.7130151779990307,0.08838215368860652,0.21958588821818129,60,94,***餐饮文化服务有限公司,False
E175,0.0451703761541593,A,0.5824654948638698,0.13837220373466336,0.1930308348945618,61,240,***食品集团有限公司,False
E315,0.04558905821389736,A,0.714189631987169,0.08987842734674044,0.2245903162878694,62,93,***轮胎有限公司,False
E143,0.045806734992039314,A,0.7759093916870478,0.06728677871469255,0.23297916826655563,63,13,***电子科技有限公司,False
E228,0.04588346091911708,A,0.7494231632767328,0.07631369306448955,0.22823837193252,64,36,***文化发展有限公司,False
E178,0.04598668078768669,A,0.5830515453993946,0.13900733375645752,0.1943847971476192,65,238,***贸易有限公司,False
E348,0.046597316659269916,A,0.6873210743793147,0.1004824680722117,0.22087743129660026,66,137,***酒店管理有限公司,False
E172,0.04690030864572727,A,0.7488425358695956,0.07637442143743646,0.2277153721980886,67,39,***物流有限公司,False
E298,0.04762694213132843,A,0.7259259125620074,0.08447355665310106,0.22374075664717627,68,71,***电器维护服务有限公司,False
E160,0.048193444411011,A,0.7435076313343799,0.0790757206680834,0.22922086171940892,69,48,***钢结构工程有限公司,False
E174,0.04829529335596871,A,0.7475679737520302,0.076526461698748,0.22663024482617714,70,41,***工程技术有限公司,False
E170,0.04921503885906406,A,0.7100355997091671,0.08978738474104721,0.21986229863729467,71,100,***建筑劳务有限公司,False
E259,0.049528503965083036,A,0.740157099042709,0.07920802621131805,0.22562241525737942,72,52,***文化传媒有限公司,False
E168,0.05013175812459406,A,0.6938974780821543,0.10052587025528116,0.22788001684897838,73,122,***建材有限公司,False
E241,0.050927295580610044,A,0.7229955745510646,0.08799162519835205,0.2296625965915915,74,76,个体经营E241 ,False
